"Major area, region, country or area *",Period,Age (x),Age interval (n),"Central death rate m(x,n)"
Cabo Verde,2010-2015,55,5,0.00916
Cabo Verde,2010-2015,60,5,0.01495
Cabo Verde,2010-2015,65,5,0.02476
Cabo Verde,2010-2015,70,5,0.04209
Cabo Verde,2010-2015,75,5,0.07132
Cabo Verde,2010-2015,80,5,0.12017
Cabo Verde,2010-2015,85,15,0.22588
Cambodia,2010-2015,0,1,0.03071
Cambodia,2010-2015,1,4,0.00129
Cambodia,2010-2015,5,5,0.00217
Cambodia,2010-2015,10,5,0.00152
Cambodia,2010-2015,15,5,0.00138
Cambodia,2010-2015,20,5,0.00163
Cambodia,2010-2015,25,5,0.00219
Cambodia,2010-2015,30,5,0.00285
Cambodia,2010-2015,35,5,0.00369
Cambodia,2010-2015,40,5,0.00466
Cambodia,2010-2015,45,5,0.00575
Cambodia,2010-2015,50,5,0.00734
Cambodia,2010-2015,55,5,0.01124
Cambodia,2010-2015,60,5,0.02008
Cambodia,2010-2015,65,5,0.03183
Cambodia,2010-2015,70,5,0.05265
Cambodia,2010-2015,75,5,0.08579
Cambodia,2010-2015,80,5,0.13374
Cambodia,2010-2015,85,15,0.23030
Cameroon,2010-2015,0,1,0.07773
Cameroon,2010-2015,1,4,0.01166
Cameroon,2010-2015,5,5,0.00424
Cameroon,2010-2015,10,5,0.00263
Cameroon,2010-2015,15,5,0.00329
Cameroon,2010-2015,20,5,0.00443
Cameroon,2010-2015,25,5,0.00629
Cameroon,2010-2015,30,5,0.00848
Cameroon,2010-2015,35,5,0.01156
Cameroon,2010-2015,40,5,0.01231
Cameroon,2010-2015,45,5,0.01314
Cameroon,2010-2015,50,5,0.01446
Cameroon,2010-2015,55,5,0.01711
Cameroon,2010-2015,60,5,0.02389
Cameroon,2010-2015,65,5,0.03565
Cameroon,2010-2015,70,5,0.05568
Cameroon,2010-2015,75,5,0.08710
Cameroon,2010-2015,80,5,0.13739
Cameroon,2010-2015,85,15,0.23825
Canada,2010-2015,0,1,0.00475
Canada,2010-2015,1,4,0.00017
Canada,2010-2015,5,5,0.00008
Canada,2010-2015,10,5,0.00010
Canada,2010-2015,15,5,0.00036
Canada,2010-2015,20,5,0.00051
Canada,2010-2015,25,5,0.00050
Canada,2010-2015,30,5,0.00058
Canada,2010-2015,35,5,0.00078
Canada,2010-2015,40,5,0.00119
Canada,2010-2015,45,5,0.00192
Canada,2010-2015,50,5,0.00307
Canada,2010-2015,55,5,0.00470
Canada,2010-2015,60,5,0.00729
Canada,2010-2015,65,5,0.01158
Canada,2010-2015,70,5,0.01865
Canada,2010-2015,75,5,0.03112
Canada,2010-2015,80,5,0.05380
Canada,2010-2015,85,15,0.14438
Caribbean,2010-2015,0,1,0.02775
Caribbean,2010-2015,1,4,0.00319
Caribbean,2010-2015,5,5,0.00115
Caribbean,2010-2015,10,5,0.00095
Caribbean,2010-2015,15,5,0.00133
Caribbean,2010-2015,20,5,0.00184
Caribbean,2010-2015,25,5,0.00231
Caribbean,2010-2015,30,5,0.00265
Caribbean,2010-2015,35,5,0.00282
Caribbean,2010-2015,40,5,0.00325
Caribbean,2010-2015,45,5,0.00424
Caribbean,2010-2015,50,5,0.00595
Caribbean,2010-2015,55,5,0.00871
Caribbean,2010-2015,60,5,0.01298
Caribbean,2010-2015,65,5,0.02007
Caribbean,2010-2015,70,5,0.03095
Caribbean,2010-2015,75,5,0.04696
Caribbean,2010-2015,80,5,0.07054
Caribbean,2010-2015,85,15,0.13953
Central African Republic,2010-2015,0,1,0.09990
Central African Republic,2010-2015,1,4,0.01644
Central African Republic,2010-2015,5,5,0.00608
Central African Republic,2010-2015,10,5,0.00416
Central African Republic,2010-2015,15,5,0.00464
Central African Republic,2010-2015,20,5,0.00546
Central African Republic,2010-2015,25,5,0.00780
Central African Republic,2010-2015,30,5,0.01135
Central African Republic,2010-2015,35,5,0.01643
Central African Republic,2010-2015,40,5,0.01679
Central African Republic,2010-2015,45,5,0.01574
Central African Republic,2010-2015,50,5,0.01537
Central African Republic,2010-2015,55,5,0.01811
Central African Republic,2010-2015,60,5,0.02576
Central African Republic,2010-2015,65,5,0.03878
Central African Republic,2010-2015,70,5,0.06053
Central African Republic,2010-2015,75,5,0.09413
Central African Republic,2010-2015,80,5,0.14705
Central African Republic,2010-2015,85,15,0.24792
Central America,2010-2015,0,1,0.01978
Central America,2010-2015,1,4,0.00135
Central America,2010-2015,5,5,0.00045
Central America,2010-2015,10,5,0.00042
Central America,2010-2015,15,5,0.00078
Central America,2010-2015,20,5,0.00120
Central America,2010-2015,25,5,0.00154
Central America,2010-2015,30,5,0.00183
Central America,2010-2015,35,5,0.00218
Central America,2010-2015,40,5,0.00276
Central America,2010-2015,45,5,0.00370
Central America,2010-2015,50,5,0.00522
Central America,2010-2015,55,5,0.00768
Central America,2010-2015,60,5,0.01160
Central America,2010-2015,65,5,0.01770
Central America,2010-2015,70,5,0.02756
Central America,2010-2015,75,5,0.04313
Central America,2010-2015,80,5,0.06678
Central America,2010-2015,85,15,0.13867
Central Asia,2010-2015,0,1,0.03489
Central Asia,2010-2015,1,4,0.00204
Central Asia,2010-2015,5,5,0.00088
Central Asia,2010-2015,10,5,0.00056
Central Asia,2010-2015,15,5,0.00073
Central Asia,2010-2015,20,5,0.00119
Central Asia,2010-2015,25,5,0.00170
Central Asia,2010-2015,30,5,0.00235
Central Asia,2010-2015,35,5,0.00322
Central Asia,2010-2015,40,5,0.00444
Central Asia,2010-2015,45,5,0.00637
Central Asia,2010-2015,50,5,0.00942
Central Asia,2010-2015,55,5,0.01409
Central Asia,2010-2015,60,5,0.02090
Central Asia,2010-2015,65,5,0.03121
Central Asia,2010-2015,70,5,0.04835
Central Asia,2010-2015,75,5,0.07448
Central Asia,2010-2015,80,5,0.11280
Central Asia,2010-2015,85,15,0.19731
Chad,2010-2015,0,1,0.10251
Chad,2010-2015,1,4,0.01706
Chad,2010-2015,5,5,0.00608
Chad,2010-2015,10,5,0.00365
Chad,2010-2015,15,5,0.00413
Chad,2010-2015,20,5,0.00541
Chad,2010-2015,25,5,0.00710
Chad,2010-2015,30,5,0.00903
Chad,2010-2015,35,5,0.01143
Chad,2010-2015,40,5,0.01173
Chad,2010-2015,45,5,0.01201
Chad,2010-2015,50,5,0.01400
Chad,2010-2015,55,5,0.01782
Chad,2010-2015,60,5,0.02592
Chad,2010-2015,65,5,0.03936
Chad,2010-2015,70,5,0.06165
Chad,2010-2015,75,5,0.09581
Chad,2010-2015,80,5,0.14932
Chad,2010-2015,85,15,0.25077
Channel Islands,2010-2015,0,1,0.00802
Channel Islands,2010-2015,1,4,0.00032
Channel Islands,2010-2015,5,5,0.00015
Channel Islands,2010-2015,10,5,0.00013
Channel Islands,2010-2015,15,5,0.00024
Channel Islands,2010-2015,20,5,0.00034
Channel Islands,2010-2015,25,5,0.00036
Channel Islands,2010-2015,30,5,0.00042
Channel Islands,2010-2015,35,5,0.00057
Channel Islands,2010-2015,40,5,0.00087
Channel Islands,2010-2015,45,5,0.00152
Channel Islands,2010-2015,50,5,0.00256
Channel Islands,2010-2015,55,5,0.00440
Channel Islands,2010-2015,60,5,0.00736
Channel Islands,2010-2015,65,5,0.01307
Channel Islands,2010-2015,70,5,0.02302
Channel Islands,2010-2015,75,5,0.04076
Channel Islands,2010-2015,80,5,0.07213
Channel Islands,2010-2015,85,15,0.16046
Chile,2010-2015,0,1,0.00722
Chile,2010-2015,1,4,0.00119
Chile,2010-2015,5,5,0.00040
Chile,2010-2015,10,5,0.00027
Chile,2010-2015,15,5,0.00038
Chile,2010-2015,20,5,0.00056
Chile,2010-2015,25,5,0.00068
Chile,2010-2015,30,5,0.00077
Chile,2010-2015,35,5,0.00097
Chile,2010-2015,40,5,0.00138
Chile,2010-2015,45,5,0.00210
Chile,2010-2015,50,5,0.00329
Chile,2010-2015,55,5,0.00517
Chile,2010-2015,60,5,0.00815
Chile,2010-2015,65,5,0.01287
Chile,2010-2015,70,5,0.02039
Chile,2010-2015,75,5,0.03223
Chile,2010-2015,80,5,0.05080
Chile,2010-2015,85,15,0.11946
China,2010-2015,0,1,0.01177
China,2010-2015,1,4,0.00048
China,2010-2015,5,5,0.00035
China,2010-2015,10,5,0.00026
China,2010-2015,15,5,0.00037
China,2010-2015,20,5,0.00054
China,2010-2015,25,5,0.00072
China,2010-2015,30,5,0.00091
China,2010-2015,35,5,0.00116
China,2010-2015,40,5,0.00164
China,2010-2015,45,5,0.00242
China,2010-2015,50,5,0.00402
China,2010-2015,55,5,0.00678
China,2010-2015,60,5,0.01279
China,2010-2015,65,5,0.02322
China,2010-2015,70,5,0.04041
China,2010-2015,75,5,0.06778
China,2010-2015,80,5,0.10410
China,2010-2015,85,15,0.19169
"China, Hong Kong SAR",2010-2015,0,1,0.00183
"China, Hong Kong SAR",2010-2015,1,4,0.00020
"China, Hong Kong SAR",2010-2015,5,5,0.00008
"China, Hong Kong SAR",2010-2015,10,5,0.00008
"China, Hong Kong SAR",2010-2015,15,5,0.00016
"China, Hong Kong SAR",2010-2015,20,5,0.00026
"China, Hong Kong SAR",2010-2015,25,5,0.00033
"China, Hong Kong SAR",2010-2015,30,5,0.00039
"China, Hong Kong SAR",2010-2015,35,5,0.00054
"China, Hong Kong SAR",2010-2015,40,5,0.00084
"China, Hong Kong SAR",2010-2015,45,5,0.00142
"China, Hong Kong SAR",2010-2015,50,5,0.00232
"China, Hong Kong SAR",2010-2015,55,5,0.00376
"China, Hong Kong SAR",2010-2015,60,5,0.00605
"China, Hong Kong SAR",2010-2015,65,5,0.01008
"China, Hong Kong SAR",2010-2015,70,5,0.01707
"China, Hong Kong SAR",2010-2015,75,5,0.03089
"China, Hong Kong SAR",2010-2015,80,5,0.05203
"China, Hong Kong SAR",2010-2015,85,15,0.12321
"China, Macao SAR",2010-2015,0,1,0.00409
"China, Macao SAR",2010-2015,1,4,0.00035
"China, Macao SAR",2010-2015,5,5,0.00010
"China, Macao SAR",2010-2015,10,5,0.00009
"China, Macao SAR",2010-2015,15,5,0.00021
"China, Macao SAR",2010-2015,20,5,0.00040
"China, Macao SAR",2010-2015,25,5,0.00048
"China, Macao SAR",2010-2015,30,5,0.00057
"China, Macao SAR",2010-2015,35,5,0.00079
"China, Macao SAR",2010-2015,40,5,0.00107
"China, Macao SAR",2010-2015,45,5,0.00174
"China, Macao SAR",2010-2015,50,5,0.00275
"China, Macao SAR",2010-2015,55,5,0.00434
"China, Macao SAR",2010-2015,60,5,0.00714
"China, Macao SAR",2010-2015,65,5,0.01220
"China, Macao SAR",2010-2015,70,5,0.02212
"China, Macao SAR",2010-2015,75,5,0.04005
"China, Macao SAR",2010-2015,80,5,0.07805
"China, Macao SAR",2010-2015,85,15,0.18333
Colombia,2010-2015,0,1,0.01821
Colombia,2010-2015,1,4,0.00186
Colombia,2010-2015,5,5,0.00036
Colombia,2010-2015,10,5,0.00041
Colombia,2010-2015,15,5,0.00126
Colombia,2010-2015,20,5,0.00230
Colombia,2010-2015,25,5,0.00268
Colombia,2010-2015,30,5,0.00254
Colombia,2010-2015,35,5,0.00244
Colombia,2010-2015,40,5,0.00274
Colombia,2010-2015,45,5,0.00365
Colombia,2010-2015,50,5,0.00538
Colombia,2010-2015,55,5,0.00826
Colombia,2010-2015,60,5,0.01287
Colombia,2010-2015,65,5,0.02013
Colombia,2010-2015,70,5,0.03145
Colombia,2010-2015,75,5,0.04897
Colombia,2010-2015,80,5,0.07577
Colombia,2010-2015,85,15,0.15363
Comoros,2010-2015,0,1,0.06088
Comoros,2010-2015,1,4,0.00531
Comoros,2010-2015,5,5,0.00155
Comoros,2010-2015,10,5,0.00121
Comoros,2010-2015,15,5,0.00191
Comoros,2010-2015,20,5,0.00265
Comoros,2010-2015,25,5,0.00290
Comoros,2010-2015,30,5,0.00332
Comoros,2010-2015,35,5,0.00407
Comoros,2010-2015,40,5,0.00530
Comoros,2010-2015,45,5,0.00729
Comoros,2010-2015,50,5,0.01055
Comoros,2010-2015,55,5,0.01551
Comoros,2010-2015,60,5,0.02369
Comoros,2010-2015,65,5,0.03648
Comoros,2010-2015,70,5,0.05787
Comoros,2010-2015,75,5,0.09216
Comoros,2010-2015,80,5,0.14622
Comoros,2010-2015,85,15,0.25089
Congo,2010-2015,0,1,0.05277
Congo,2010-2015,1,4,0.00643
Congo,2010-2015,5,5,0.00269
Congo,2010-2015,10,5,0.00225
Congo,2010-2015,15,5,0.00301
Congo,2010-2015,20,5,0.00340
Congo,2010-2015,25,5,0.00472
Congo,2010-2015,30,5,0.00646
Congo,2010-2015,35,5,0.00858
Congo,2010-2015,40,5,0.00886
Congo,2010-2015,45,5,0.00865
Congo,2010-2015,50,5,0.00972
Congo,2010-2015,55,5,0.01207
Congo,2010-2015,60,5,0.01829
Congo,2010-2015,65,5,0.02877
Congo,2010-2015,70,5,0.04634
Congo,2010-2015,75,5,0.07531
Congo,2010-2015,80,5,0.12231
Congo,2010-2015,85,15,0.22294
Costa Rica,2010-2015,0,1,0.00942
Costa Rica,2010-2015,1,4,0.00051
Costa Rica,2010-2015,5,5,0.00021
Costa Rica,2010-2015,10,5,0.00027
Costa Rica,2010-2015,15,5,0.00054
Costa Rica,2010-2015,20,5,0.00081
Costa Rica,2010-2015,25,5,0.00094
Costa Rica,2010-2015,30,5,0.00112
Costa Rica,2010-2015,35,5,0.00137
Costa Rica,2010-2015,40,5,0.00183
Costa Rica,2010-2015,45,5,0.00261
Costa Rica,2010-2015,50,5,0.00386
Costa Rica,2010-2015,55,5,0.00591
Costa Rica,2010-2015,60,5,0.00921
Costa Rica,2010-2015,65,5,0.01465
Costa Rica,2010-2015,70,5,0.02316
Costa Rica,2010-2015,75,5,0.03762
Costa Rica,2010-2015,80,5,0.06121
Costa Rica,2010-2015,85,15,0.14082
Côte d'Ivoire,2010-2015,0,1,0.07764
Côte d'Ivoire,2010-2015,1,4,0.00872
Côte d'Ivoire,2010-2015,5,5,0.00928
Côte d'Ivoire,2010-2015,10,5,0.00488
Côte d'Ivoire,2010-2015,15,5,0.00567
Côte d'Ivoire,2010-2015,20,5,0.00737
Côte d'Ivoire,2010-2015,25,5,0.00823
Côte d'Ivoire,2010-2015,30,5,0.00916
Côte d'Ivoire,2010-2015,35,5,0.01040
Côte d'Ivoire,2010-2015,40,5,0.01200
Côte d'Ivoire,2010-2015,45,5,0.01379
Côte d'Ivoire,2010-2015,50,5,0.01730
Côte d'Ivoire,2010-2015,55,5,0.02305
Côte d'Ivoire,2010-2015,60,5,0.03305
Côte d'Ivoire,2010-2015,65,5,0.04921
Côte d'Ivoire,2010-2015,70,5,0.07667
Côte d'Ivoire,2010-2015,75,5,0.11697
Côte d'Ivoire,2010-2015,80,5,0.17947
Côte d'Ivoire,2010-2015,85,15,0.28696
Croatia,2010-2015,0,1,0.00396
Croatia,2010-2015,1,4,0.00026
Croatia,2010-2015,5,5,0.00013
Croatia,2010-2015,10,5,0.00015
Croatia,2010-2015,15,5,0.00035
Croatia,2010-2015,20,5,0.00054
Croatia,2010-2015,25,5,0.00056
Croatia,2010-2015,30,5,0.00066
Croatia,2010-2015,35,5,0.00101
Croatia,2010-2015,40,5,0.00178
Croatia,2010-2015,45,5,0.00306
Croatia,2010-2015,50,5,0.00497
Croatia,2010-2015,55,5,0.00788
Croatia,2010-2015,60,5,0.01246
Croatia,2010-2015,65,5,0.02010
Croatia,2010-2015,70,5,0.03318
Croatia,2010-2015,75,5,0.05502
Croatia,2010-2015,80,5,0.09019
Croatia,2010-2015,85,15,0.17706
Cuba,2010-2015,0,1,0.00552
Cuba,2010-2015,1,4,0.00035
Cuba,2010-2015,5,5,0.00019
Cuba,2010-2015,10,5,0.00022
Cuba,2010-2015,15,5,0.00042
Cuba,2010-2015,20,5,0.00063
Cuba,2010-2015,25,5,0.00072
Cuba,2010-2015,30,5,0.00086
Cuba,2010-2015,35,5,0.00120
Cuba,2010-2015,40,5,0.00181
Cuba,2010-2015,45,5,0.00280
Cuba,2010-2015,50,5,0.00436
Cuba,2010-2015,55,5,0.00682
Cuba,2010-2015,60,5,0.01067
Cuba,2010-2015,65,5,0.01668
Cuba,2010-2015,70,5,0.02599
Cuba,2010-2015,75,5,0.04032
Cuba,2010-2015,80,5,0.06217
Cuba,2010-2015,85,15,0.13464
Curaçao,2010-2015,0,1,0.01036
Curaçao,2010-2015,1,4,0.00049
Curaçao,2010-2015,5,5,0.00019
Curaçao,2010-2015,10,5,0.00020
Curaçao,2010-2015,15,5,0.00064
Curaçao,2010-2015,20,5,0.00128
Curaçao,2010-2015,25,5,0.00142
Curaçao,2010-2015,30,5,0.00128
Curaçao,2010-2015,35,5,0.00134
Curaçao,2010-2015,40,5,0.00173
Curaçao,2010-2015,45,5,0.00267
Curaçao,2010-2015,50,5,0.00437
Curaçao,2010-2015,55,5,0.00681
Curaçao,2010-2015,60,5,0.01050
Curaçao,2010-2015,65,5,0.01675
Curaçao,2010-2015,70,5,0.02701
Curaçao,2010-2015,75,5,0.04305
Curaçao,2010-2015,80,5,0.06824
Curaçao,2010-2015,85,15,0.14536
Cyprus,2010-2015,0,1,0.00422
Cyprus,2010-2015,1,4,0.00020
Cyprus,2010-2015,5,5,0.00008
Cyprus,2010-2015,10,5,0.00006
Cyprus,2010-2015,15,5,0.00011
Cyprus,2010-2015,20,5,0.00020
Cyprus,2010-2015,25,5,0.00033
Cyprus,2010-2015,30,5,0.00046
Cyprus,2010-2015,35,5,0.00063
Cyprus,2010-2015,40,5,0.00094
Cyprus,2010-2015,45,5,0.00154
Cyprus,2010-2015,50,5,0.00262
Cyprus,2010-2015,55,5,0.00450
Cyprus,2010-2015,60,5,0.00798
Cyprus,2010-2015,65,5,0.01451
Cyprus,2010-2015,70,5,0.02642
Cyprus,2010-2015,75,5,0.04723
Cyprus,2010-2015,80,5,0.08259
Cyprus,2010-2015,85,15,0.17784
Czech Republic,2010-2015,0,1,0.00246
Czech Republic,2010-2015,1,4,0.00015
Czech Republic,2010-2015,5,5,0.00010
Czech Republic,2010-2015,10,5,0.00010
Czech Republic,2010-2015,15,5,0.00035
Czech Republic,2010-2015,20,5,0.00051
Czech Republic,2010-2015,25,5,0.00056
Czech Republic,2010-2015,30,5,0.00061
Czech Republic,2010-2015,35,5,0.00086
Czech Republic,2010-2015,40,5,0.00146
Czech Republic,2010-2015,45,5,0.00267
Czech Republic,2010-2015,50,5,0.00426
Czech Republic,2010-2015,55,5,0.00735
Czech Republic,2010-2015,60,5,0.01207
Czech Republic,2010-2015,65,5,0.01875
Czech Republic,2010-2015,70,5,0.02753
Czech Republic,2010-2015,75,5,0.04509
Czech Republic,2010-2015,80,5,0.07974
Czech Republic,2010-2015,85,15,0.17489
Dem. People's Republic of Korea,2010-2015,0,1,0.02243
Dem. People's Republic of Korea,2010-2015,1,4,0.00152
Dem. People's Republic of Korea,2010-2015,5,5,0.00074
Dem. People's Republic of Korea,2010-2015,10,5,0.00065
Dem. People's Republic of Korea,2010-2015,15,5,0.00096
Dem. People's Republic of Korea,2010-2015,20,5,0.00142
Dem. People's Republic of Korea,2010-2015,25,5,0.00169
Dem. People's Republic of Korea,2010-2015,30,5,0.00197
Dem. People's Republic of Korea,2010-2015,35,5,0.00226
Dem. People's Republic of Korea,2010-2015,40,5,0.00276
Dem. People's Republic of Korea,2010-2015,45,5,0.00374
Dem. People's Republic of Korea,2010-2015,50,5,0.00532
Dem. People's Republic of Korea,2010-2015,55,5,0.01167
Dem. People's Republic of Korea,2010-2015,60,5,0.02338
Dem. People's Republic of Korea,2010-2015,65,5,0.03535
Dem. People's Republic of Korea,2010-2015,70,5,0.04964
Dem. People's Republic of Korea,2010-2015,75,5,0.08446
Dem. People's Republic of Korea,2010-2015,80,5,0.13068
Dem. People's Republic of Korea,2010-2015,85,15,0.23689
Democratic Republic of the Congo,2010-2015,0,1,0.07737
Democratic Republic of the Congo,2010-2015,1,4,0.01163
Democratic Republic of the Congo,2010-2015,5,5,0.00410
Democratic Republic of the Congo,2010-2015,10,5,0.00237
Democratic Republic of the Congo,2010-2015,15,5,0.00307
Democratic Republic of the Congo,2010-2015,20,5,0.00411
Democratic Republic of the Congo,2010-2015,25,5,0.00452
Democratic Republic of the Congo,2010-2015,30,5,0.00497
Democratic Republic of the Congo,2010-2015,35,5,0.00564
Democratic Republic of the Congo,2010-2015,40,5,0.00686
Democratic Republic of the Congo,2010-2015,45,5,0.00821
Democratic Republic of the Congo,2010-2015,50,5,0.01120
Democratic Republic of the Congo,2010-2015,55,5,0.01494
Democratic Republic of the Congo,2010-2015,60,5,0.02241
Democratic Republic of the Congo,2010-2015,65,5,0.03463
Democratic Republic of the Congo,2010-2015,70,5,0.05493
Democratic Republic of the Congo,2010-2015,75,5,0.08678
Democratic Republic of the Congo,2010-2015,80,5,0.13735
Democratic Republic of the Congo,2010-2015,85,15,0.23787
Denmark,2010-2015,0,1,0.00348
Denmark,2010-2015,1,4,0.00019
Denmark,2010-2015,5,5,0.00006
Denmark,2010-2015,10,5,0.00006
Denmark,2010-2015,15,5,0.00021
Denmark,2010-2015,20,5,0.00031
Denmark,2010-2015,25,5,0.00035
Denmark,2010-2015,30,5,0.00048
Denmark,2010-2015,35,5,0.00068
Denmark,2010-2015,40,5,0.00127
Denmark,2010-2015,45,5,0.00207
Denmark,2010-2015,50,5,0.00380
Denmark,2010-2015,55,5,0.00643
Denmark,2010-2015,60,5,0.00950
Denmark,2010-2015,65,5,0.01449
Denmark,2010-2015,70,5,0.02285
Denmark,2010-2015,75,5,0.04012
Denmark,2010-2015,80,5,0.07186
Denmark,2010-2015,85,15,0.16338
Djibouti,2010-2015,0,1,0.05784
Djibouti,2010-2015,1,4,0.00759
Djibouti,2010-2015,5,5,0.00288
Djibouti,2010-2015,10,5,0.00193
Djibouti,2010-2015,15,5,0.00250
Djibouti,2010-2015,20,5,0.00325
Djibouti,2010-2015,25,5,0.00388
Djibouti,2010-2015,30,5,0.00477
Djibouti,2010-2015,35,5,0.00619
Djibouti,2010-2015,40,5,0.00726
Djibouti,2010-2015,45,5,0.00831
Djibouti,2010-2015,50,5,0.01047
Djibouti,2010-2015,55,5,0.01322
Djibouti,2010-2015,60,5,0.01969
Djibouti,2010-2015,65,5,0.03059
Djibouti,2010-2015,70,5,0.04887
Djibouti,2010-2015,75,5,0.07863
Djibouti,2010-2015,80,5,0.12664
Djibouti,2010-2015,85,15,0.22727
Dominican Republic,2010-2015,0,1,0.02566
Dominican Republic,2010-2015,1,4,0.00078
Dominican Republic,2010-2015,5,5,0.00040
Dominican Republic,2010-2015,10,5,0.00040
Dominican Republic,2010-2015,15,5,0.00101
Dominican Republic,2010-2015,20,5,0.00179
Dominican Republic,2010-2015,25,5,0.00226
Dominican Republic,2010-2015,30,5,0.00274
Dominican Republic,2010-2015,35,5,0.00303
Dominican Republic,2010-2015,40,5,0.00382
Dominican Republic,2010-2015,45,5,0.00511
Dominican Republic,2010-2015,50,5,0.00677
Dominican Republic,2010-2015,55,5,0.00987
Dominican Republic,2010-2015,60,5,0.01469
Dominican Republic,2010-2015,65,5,0.02196
Dominican Republic,2010-2015,70,5,0.03254
Dominican Republic,2010-2015,75,5,0.04879
Dominican Republic,2010-2015,80,5,0.06919
Dominican Republic,2010-2015,85,15,0.12508
Eastern Africa,2010-2015,0,1,0.05561
Eastern Africa,2010-2015,1,4,0.00701
Eastern Africa,2010-2015,5,5,0.00289
Eastern Africa,2010-2015,10,5,0.00228
Eastern Africa,2010-2015,15,5,0.00267
Eastern Africa,2010-2015,20,5,0.00340
Eastern Africa,2010-2015,25,5,0.00480
Eastern Africa,2010-2015,30,5,0.00682
Eastern Africa,2010-2015,35,5,0.00879
Eastern Africa,2010-2015,40,5,0.00946
Eastern Africa,2010-2015,45,5,0.00966
Eastern Africa,2010-2015,50,5,0.01072
Eastern Africa,2010-2015,55,5,0.01341
Eastern Africa,2010-2015,60,5,0.01932
Eastern Africa,2010-2015,65,5,0.02991
Eastern Africa,2010-2015,70,5,0.04818
Eastern Africa,2010-2015,75,5,0.07794
Eastern Africa,2010-2015,80,5,0.12327
Eastern Africa,2010-2015,85,15,0.21919
Eastern Asia,2010-2015,0,1,0.01116
Eastern Asia,2010-2015,1,4,0.00048
Eastern Asia,2010-2015,5,5,0.00032
Eastern Asia,2010-2015,10,5,0.00027
Eastern Asia,2010-2015,15,5,0.00036
Eastern Asia,2010-2015,20,5,0.00054
Eastern Asia,2010-2015,25,5,0.00072
Eastern Asia,2010-2015,30,5,0.00089
Eastern Asia,2010-2015,35,5,0.00116
Eastern Asia,2010-2015,40,5,0.00162
Eastern Asia,2010-2015,45,5,0.00243
Eastern Asia,2010-2015,50,5,0.00389
Eastern Asia,2010-2015,55,5,0.00668
Eastern Asia,2010-2015,60,5,0.01195
Eastern Asia,2010-2015,65,5,0.02111
Eastern Asia,2010-2015,70,5,0.03510
Eastern Asia,2010-2015,75,5,0.05592
Eastern Asia,2010-2015,80,5,0.08776
Eastern Asia,2010-2015,85,15,0.16974
Eastern Europe,2010-2015,0,1,0.00765
Eastern Europe,2010-2015,1,4,0.00044
Eastern Europe,2010-2015,5,5,0.00023
Eastern Europe,2010-2015,10,5,0.00028
Eastern Europe,2010-2015,15,5,0.00062
Eastern Europe,2010-2015,20,5,0.00117
Eastern Europe,2010-2015,25,5,0.00190
Eastern Europe,2010-2015,30,5,0.00272
Eastern Europe,2010-2015,35,5,0.00350
Eastern Europe,2010-2015,40,5,0.00454
Eastern Europe,2010-2015,45,5,0.00649
Eastern Europe,2010-2015,50,5,0.00938
Eastern Europe,2010-2015,55,5,0.01343
Eastern Europe,2010-2015,60,5,0.01879
Eastern Europe,2010-2015,65,5,0.02552
Eastern Europe,2010-2015,70,5,0.03936
Eastern Europe,2010-2015,75,5,0.06332
Eastern Europe,2010-2015,80,5,0.10008
Eastern Europe,2010-2015,85,15,0.18769
Ecuador,2010-2015,0,1,0.02146
Ecuador,2010-2015,1,4,0.00112
Ecuador,2010-2015,5,5,0.00045
Ecuador,2010-2015,10,5,0.00049
Ecuador,2010-2015,15,5,0.00111
Ecuador,2010-2015,20,5,0.00174
Ecuador,2010-2015,25,5,0.00198
Ecuador,2010-2015,30,5,0.00210
Ecuador,2010-2015,35,5,0.00224
Ecuador,2010-2015,40,5,0.00282
Ecuador,2010-2015,45,5,0.00358
Ecuador,2010-2015,50,5,0.00517
Ecuador,2010-2015,55,5,0.00711
Ecuador,2010-2015,60,5,0.01043
Ecuador,2010-2015,65,5,0.01464
Ecuador,2010-2015,70,5,0.02442
Ecuador,2010-2015,75,5,0.04062
Ecuador,2010-2015,80,5,0.06534
Ecuador,2010-2015,85,15,0.15550
Egypt,2010-2015,0,1,0.01925
Egypt,2010-2015,1,4,0.00134
Egypt,2010-2015,5,5,0.00048
Egypt,2010-2015,10,5,0.00039
Egypt,2010-2015,15,5,0.00057
Egypt,2010-2015,20,5,0.00084
Egypt,2010-2015,25,5,0.00103
Egypt,2010-2015,30,5,0.00135
Egypt,2010-2015,35,5,0.00160
Egypt,2010-2015,40,5,0.00236
Egypt,2010-2015,45,5,0.00491
Egypt,2010-2015,50,5,0.00899
Egypt,2010-2015,55,5,0.01234
Egypt,2010-2015,60,5,0.02000
Egypt,2010-2015,65,5,0.03118
Egypt,2010-2015,70,5,0.05096
Egypt,2010-2015,75,5,0.08375
Egypt,2010-2015,80,5,0.12971
Egypt,2010-2015,85,15,0.22161
El Salvador,2010-2015,0,1,0.01730
El Salvador,2010-2015,1,4,0.00069
El Salvador,2010-2015,5,5,0.00031
El Salvador,2010-2015,10,5,0.00058
El Salvador,2010-2015,15,5,0.00157
El Salvador,2010-2015,20,5,0.00258
El Salvador,2010-2015,25,5,0.00320
El Salvador,2010-2015,30,5,0.00339
El Salvador,2010-2015,35,5,0.00359
